"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Meltdown,,8f626b39072acde7d01470d72dbed547824ed0a0,,,,,,"Video PAL",1990,Atari,,,,,,,,,,,,,,
"F-18 Hornet",,8f76d508c35f94dddaea0b70b7b0cb81e33a6291,,,,,,"Video PAL",1988,"Absolute Entertainment",,,,,,,,,,,,,,
"Barnyard Blaster",,8f8e37d9b6859953fdcd03beadac1166ecf026e0,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Super Huey UH-1X",,8fe3620de6d630e8a1aeb30291940f7589532956,,,,,,"Video NTSC",1988,Atari,,,"a 1",,,,,,,,,,,
"Color Selector",,90106bb2ccad6499f2879864ba452439f7740b48,,,,,,,1987,Atari,,,,,,,,,,,,,,
"Donkey Kong Junior",,90d491e1dcb5aae2bc82e851ace60a5eed7c3b4f,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
Galaga,,93a3b9c5348bbfd3bad6ec2bd922857a66dbb73a,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
"Beef Drop 7800",,93ed412867351c4ddaf79fb3f61daebc0821ff36,,,,,,V20041029-Rev07,,,,,,,,,,,,,,,,
@,,950ec20374630cbbb53d03543b7c56e6f923b96d,,,"One-on-One Basketball",,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
"Tubes by Bruce Tomlin",,96313a291f3edbb9ba1b1e202a20e517d6c66c2d,,,,,,"V20041103; PD",,,,,,,,,,,,,,,,
@,,96515fd5d0c7b3ec507469d5f47d377bdb1ab6fe,,,Galaga,,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
"Desert Falcon",,97fea37888741279cf21e09ec46f6325e87ac2ae,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
"Hat Trick",,9a154c4faeb10167eeac65206892ad9a1b9f8364,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
@,,9bdbc4d628f06e425d50a4e2a67cc7806360d94d,,,"Super Huey UH-1X",,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,,
"Pete Rose Baseball",,a1bfa87625cf06217f7728375601909a5118cc63,,,,,,"1989; Absolute; o1",,,,,,,,,,,,,,,,
@,,a3af676991391a6dd716c79022d4947206b78164,,,"Atari 7800 High Score Cartridge BIOS",,,,2000,"Atari - GCC - Gary Rubio",@,,,,,,,,,,,,,
"Tubes by Bruce Tomlin",,a4000c40c7b72eb218bc45d790fef6f623fe062e,,,,,,"V20041103_Signed; PD",,,,,,,,,,,,,,,,
Centipede,,a4d28b28960a9473d97d266a69f413834fb4f588,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
@,,a60b690351ccc1b03de6f4b8945eb54f2dee762e,,,"Dig Dug",,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
Choplifter!,,a7fdc4abfd6c47d867e3c9b165ad902829d723a9,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
"Double Dragon",,a83fd5fa9ef368e216c03f11dbf6c9838c3c9572,,,,,,"1989; Activision; b1",,,,,,,,,,,,,,,,
Crossbow,,a850930af7c688febe85b4ae745cb320ed58f667,,,,,,"1988; Atari; CC2 Hack",,,,,,,,,,,,,,,,
"Beef Drop 7800",,a93429788f0e25820555aaa80555cfd08dd2037c,,,,,,"Oct 22-Rev 04; 2004; PD",,,,,,,,,,,,,,,,
"Impossible Mission",,aa46b44bb579a82a85a03307bc474a6f19f209ab,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
"Fatal Run",,aac1881255b4429a2fa13fcb003c2290bce5687c,,,,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,,
"Ms. Pac-Man",,aad5c4b0b2e372f13ffa0a291023c9feee86785d,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
Sentinel,,ab01ab13ce1bf9dd49fd162161c80c9c42999902,,,,,,"Video NTSC; Language proto",1990,Atari,,b,"b 1",,,,,,,,,,,
@,,ab08f92c6a9a3346cce40958ad6492e6af00acf1,,,"Mat Mania Challenge",,,"Video NTSC",1990,Atari,@,,,,,,,,,,,,,
"RealSports Baseball",,ab96b82d698bd59d07d8004f0445699e26137817,,,,,,"Video NTSC",1988,Atari,,o,"o 1",,,,,,,,,,,
@,,ad3002b9385d1df8c0066a407362a1261180e76f,,,"Atari 7800 BIOS",,,"Video NTSC",1984,Atari,@,b,"b 1",,,,,,,,,,,
"Water Ski",,ad52027a4ef5822ff126f3d74350b8215e863f89,,,,,,"Video NTSC",1988,Froggo,,o,"o 1",,,,,,,,,,,
Meltdown,,af4598cea849790262c1ba308410dbf8195b72ec,,,,,,"Video NTSC",1990,Atari,,b,"b 1",,,,,,,,,,,
"Mario Bros.",,b0216f9979d0cf75d2f00c2715170b7acf3d92f9,,,,,,"Video NTSC",1988,Atari,,,"a 1",,,,,,,,,,,
Xenophobe,,b0499b57a42741ddd672ff7ff1b9ac3bc068ac58,,,,,,"Video PAL",1989,Atari,,,,,,,,,,,,,,
"Tank Command",,b071ddbae6f71b93cf250af6940458e86b024e06,,,,,,"Video NTSC",1988,Froggo,,o,"o 1",,,,,,,,,,,
"Klax: Impossible Level 1",,b7ba364bfcbf2b8a8c9b27d8ecf7d1da0a5827c8,,,,,,Hack,,,,,,,,,,,,,,,,
"One-on-One Basketball",,b89b8e550ae9c58880ef05e2e7d6ec6de40e96ce,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
"F-18 Hornet",,b9b673c6cc4abc1f1bfb0d27d07be72b9976a1dd,,,,,,"Video NTSC",1988,"Absolute Entertainment",,b,"b 2",,,,,,,,,,,
Klax,,ba3ad01a10ee7fecd44d530bfd1f6899f1f96ce2,,,,,,"1992; Atari; Prototype; f1",,,,,,,,,,,,,,,,
@,,baa7f957db2f4f9165a75b0f77866b5f99312769,,,"Winter Games",,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
"Desert Falcon",,bbb8aa88879f2ec6039673ccdbbebebc565346bc,,,,,,"2004; Atari; HSC Hack",,,,,,,,,,,,,,,,
Gato,,bc8ee7adeb01c875eeeda51d707c533cc4329668,,,,,,"Video NTSC; Language proto",1987,Atari,,,"a 1",,,,,,,,,,,
"Impossible Mission",,bdbc60df4fe04072f41b408d5ed97487db9abe34,,,,,,"Video NTSC",1987,Atari,,,,,,,,,,,,,,
"Ninja Golf",,bf0801510a0835e327b1b2edd2d56399551bc047,,,,,,"Video NTSC",1989,Atari,,,,,,,,,,,,,,
Sentinel,,bf414ce1962f57016b26f545321d49fe13cf1e1e,,,,,,"Video PAL",1991,Atari,,b,"b 1",,,,,,,,,,,
@,,bfbf9be9ad0788f5c54428cc70ca8b75816eb4a9,,,Sentinel,,,"Video NTSC; Language proto",1990,Atari,@,,,,,,,,,,,,,
"Super Skateboardin'",,c0517bfebf4e81ac61bbf9c5ddd49a1e8fb49a88,,,,,,"1989; Absolute; o1",,,,,,,,,,,,,,,,
"Mean 18 Ultimate Golf",,c1f1d13b0a3cff210a6b8fe73efb5588cb4de3c6,,,,,,"Video NTSC",1989,Atari,,,"a 1",,,,,,,,,,,
"Beef Drop 7800",,c317adf4af005f6b5e1b2d714b1c9536252afbbb,,,,,,V20041104-Rev10,,,,,,,,,,,,,,,,
"Midnight Mutants",,c56e2180b8ad1d37767d01c22bfb098d995f192e,,,,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,,
@,,c6c8accd3ff293c249f544688dc49807ca2556cf,,,"Pole Position II",,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
"Space War!",,c837d632d8035597ab7d15274112dc6c7e24c48f,,,,,,"Mar 18; 2004; PD; a1",,,,,,,,,,,,,,,,
"Ninja Golf",,c8513193616984b872a4e4892abe5ce85611aab9,,,,,,"Video PAL",1989,Atari,,,,,,,,,,,,,,
"Space War!",,c983927d3c8acb050a1f96793988f46e5167c94c,,,,,,"Oct 18; 2003; PD; a1",,,,?,,,,,,,,,,,,
@,,ca1e5aa9359bacaff10bcbb8ff42cf52ce6d9d02,,,Asteroids,,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
Ballblazer,,ca675c16174f491a99427c25f6aae1f7cbe8e8c5,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
